title,id,language,ontologyId,address,position,access,distance,categories,foodTypes,references,contacts,openingHours,province
Cambodian Private Tour Guide,here:pds:place:116aabd1-09e8615ec506096943cd9c415bbdddc0,en,here:cm:ontology:landmark_attraction,"{'label': 'Cambodian Private Tour Guide, 171202 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'ស្វាយដង្គំ', 'postalCode': '171202'}","{'lat': 13.35492, 'lng': 103.84855}","[{'lat': 13.35491, 'lng': 103.84841}]",88117,"[{'id': '300-3000-0000', 'name': 'Landmark-Attraction', 'primary': True}, {'id': '700-7400-0133', 'name': 'Travel Agent/Ticketing'}]",,"[{'supplier': {'id': 'tripadvisor'}, 'id': '24902668'}, {'supplier': {'id': 'tripadvisor'}, 'id': '3701711'}]","[{'phone': [{'value': '+85512998498'}, {'value': '+85570751166', 'categories': [{'id': '300-3000-0000'}]}], 'www': [{'value': 'http://cambodia-private-tours.com', 'categories': [{'id': '300-3000-0000'}]}, {'value': 'http://www.angkortempleguides.com'}]}]","[{'text': ['Mon-Sun: 07:00 - 21:00'], 'isOpen': True, 'structured': [{'start': 'T070000', 'duration': 'PT14H00M', 'recurrence': 'FREQ:DAILY;BYDAY:MO,TU,WE,TH,FR,SA,SU'}]}]",Siem Reap
Angkor Temple Driver - Day Tours,here:pds:place:116w63u5-62106ac87e040705cedafdd9f8c1365f,en,here:cm:ontology:landmark_attraction,"{'label': 'Angkor Temple Driver - Day Tours, 171202 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'ស្វាយដង្គំ', 'postalCode': '171202'}","{'lat': 13.36841, 'lng': 103.84237}","[{'lat': 13.36829, 'lng': 103.84231}]",88119,"[{'id': '300-3000-0000', 'name': 'Landmark-Attraction', 'primary': True}]",,"[{'supplier': {'id': 'tripadvisor'}, 'id': '8403400'}]","[{'phone': [{'value': '+85569655596'}], 'www': [{'value': 'http://winangkor.blogspot.com'}]}]",Not Available,Siem Reap
Saven Unique Tour,here:pds:place:116w63gg-fec19b26f0207b6a9a7fd89f8a5c0070,en,here:cm:ontology:landmark_attraction,"{'label': 'Saven Unique Tour, 171202 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'ស្វាយដង្គំ', 'postalCode': '171202'}","{'lat': 13.35543, 'lng': 103.84851}","[{'lat': 13.35542, 'lng': 103.84837}]",88136,"[{'id': '300-3000-0000', 'name': 'Landmark-Attraction', 'primary': True}]",,"[{'supplier': {'id': 'tripadvisor'}, 'id': '13273412'}]","[{'phone': [{'value': '+85593809681'}], 'www': [{'value': 'http://www.facebook.com/savenangkor'}]}]","[{'text': ['Mon-Sat: 05:00 - 21:30', 'Sun: 00:00 - 23:30'], 'isOpen': True, 'structured': [{'start': 'T050000', 'duration': 'PT16H30M', 'recurrence': 'FREQ:DAILY;BYDAY:MO,TU,WE,TH,FR,SA'}, {'start': 'T000000', 'duration': 'PT23H30M', 'recurrence': 'FREQ:DAILY;BYDAY:SU'}]}]",Siem Reap
Get Cambodia Guide,here:pds:place:116w63gg-30f82ef85b6cbd8805f25859f7dcfcc8,en,here:cm:ontology:landmark_attraction,"{'label': 'Get Cambodia Guide, 171202 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'ស្វាយដង្គំ', 'postalCode': '171202'}","{'lat': 13.35636, 'lng': 103.84848}","[{'lat': 13.35636, 'lng': 103.84834}]",88174,"[{'id': '300-3000-0000', 'name': 'Landmark-Attraction', 'primary': True}]",,"[{'supplier': {'id': 'tripadvisor'}, 'id': '24035146'}]","[{'phone': [{'value': '+85512566869'}], 'www': [{'value': 'http://www.getcambodiaguide.com'}]}]",Not Available,Siem Reap
Cambodia Travel and Tours,here:pds:place:116w63u4-b38424641502ccb9d3f5635e0680cf63,en,here:cm:ontology:landmark_attraction,"{'label': 'Cambodia Travel and Tours, អេអេច21, 171202 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'ស្វាយដង្គំ', 'street': 'អេអេច21', 'postalCode': '171202'}","{'lat': 13.3718, 'lng': 103.84151}","[{'lat': 13.37191, 'lng': 103.84158}]",88192,"[{'id': '700-7400-0133', 'name': 'Travel Agent/Ticketing', 'primary': True}, {'id': '300-3000-0000', 'name': 'Landmark-Attraction'}]",,"[{'supplier': {'id': 'tripadvisor'}, 'id': '9871085'}]","[{'phone': [{'value': '+85592953176'}], 'www': [{'value': 'http://cambodiatravels.webs.com/tour-packages'}]}]",Not Available,Siem Reap
Rusty Bike Adventure,here:pds:place:116w63gg-47cb88a8e4b24c6387a6eb396a2dd8e1,en,here:cm:ontology:landmark_attraction,"{'label': 'Rusty Bike Adventure, ផ្លូវជាតិ 63, 171204 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សាលាកម្រើក', 'street': 'ផ្លូវជាតិ 63', 'postalCode': '171204'}","{'lat': 13.34907, 'lng': 103.85234}","[{'lat': 13.34913, 'lng': 103.85246}]",88236,"[{'id': '300-3000-0000', 'name': 'Landmark-Attraction', 'primary': True}]",,"[{'supplier': {'id': 'tripadvisor'}, 'id': '15736180'}]","[{'phone': [{'value': '+85512800710'}], 'www': [{'value': 'http://www.rustybikeadventure.com'}]}]","[{'text': ['Mon-Sun: 09:00 - 17:00'], 'isOpen': False, 'structured': [{'start': 'T090000', 'duration': 'PT08H00M', 'recurrence': 'FREQ:DAILY;BYDAY:MO,TU,WE,TH,FR,SA,SU'}]}]",Siem Reap
Ad Exploring,here:pds:place:116w63u5-0f5a6cb989c34c3a5d0412616985174e,en,here:cm:ontology:landmark_attraction,"{'label': 'Ad Exploring, ផ្លូវ បាខែង, 171202 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'ស្វាយដង្គំ', 'street': 'ផ្លូវ បាខែង', 'postalCode': '171202'}","{'lat': 13.36333, 'lng': 103.84609}","[{'lat': 13.36333, 'lng': 103.84609}]",88252,"[{'id': '700-7400-0133', 'name': 'Travel Agent/Ticketing', 'primary': True}, {'id': '300-3000-0000', 'name': 'Landmark-Attraction'}]",,"[{'supplier': {'id': 'tripadvisor'}, 'id': '16877810'}]","[{'phone': [{'value': '+855966444401'}], 'www': [{'value': 'www.lechanthou.com'}]}]",Not Available,Siem Reap
Angkor Driver Ravin,here:pds:place:116w63gg-6f1abfd92fc74c0ac2088682302799db,en,here:cm:ontology:landmark_attraction,"{'label': 'Angkor Driver Ravin, ផ្លូវ ផ្សាររាត្រីអង្គរ, 171202 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'ស្វាយដង្គំ', 'street': 'ផ្លូវ ផ្សាររាត្រីអង្គរ', 'postalCode': '171202'}","{'lat': 13.35276, 'lng': 103.85096}","[{'lat': 13.35276, 'lng': 103.85097}]",88261,"[{'id': '300-3000-0000', 'name': 'Landmark-Attraction', 'primary': True}]",,"[{'supplier': {'id': 'tripadvisor'}, 'id': '10022010'}]","[{'phone': [{'value': '+855967692477'}], 'www': [{'value': 'https://www.facebook.com/Ravin-Angkor-Driver-840725272735239'}]}]",Not Available,Siem Reap
Angkor Tour Services,here:pds:place:116w63u5-2f53218a74d4db5c05df9252609ac845,en,here:cm:ontology:landmark_attraction,"{'label': 'Angkor Tour Services, 171202 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'ស្វាយដង្គំ', 'postalCode': '171202'}","{'lat': 13.35984, 'lng': 103.84782}","[{'lat': 13.35987, 'lng': 103.84796}]",88265,"[{'id': '700-7400-0133', 'name': 'Travel Agent/Ticketing', 'primary': True}, {'id': '300-3000-0000', 'name': 'Landmark-Attraction'}]",,"[{'supplier': {'id': 'tripadvisor'}, 'id': '2403350'}]","[{'phone': [{'value': '+85512566869'}], 'www': [{'value': 'http://www.angkortourservices.com'}]}]","[{'text': ['Mon-Wed, Fri-Sun: 09:00 - 17:00'], 'isOpen': False, 'structured': [{'start': 'T090000', 'duration': 'PT08H00M', 'recurrence': 'FREQ:DAILY;BYDAY:MO,TU,WE,FR,SA,SU'}]}]",Siem Reap
Angkor Driver Taxi & Guide - van Vireak,here:pds:place:116w63u5-451dfd278f89d006d8f89c612d0cce13,en,here:cm:ontology:landmark_attraction,"{'label': 'Angkor Driver Taxi & Guide - van Vireak, 171202 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'ស្វាយដង្គំ', 'postalCode': '171202'}","{'lat': 13.36691, 'lng': 103.84458}","[{'lat': 13.36704, 'lng': 103.8446}]",88267,"[{'id': '400-4100-0041', 'name': 'Transportation Service', 'primary': True}, {'id': '300-3000-0000', 'name': 'Landmark-Attraction'}]",,"[{'supplier': {'id': 'tripadvisor'}, 'id': '11811494'}]","[{'phone': [{'value': '+85593628430'}], 'www': [{'value': 'http://cambodiataxiguide.com'}]}]","[{'text': ['Mon-Sun: 00:00 - 23:30'], 'isOpen': True, 'structured': [{'start': 'T000000', 'duration': 'PT23H30M', 'recurrence': 'FREQ:DAILY;BYDAY:MO,TU,WE,TH,FR,SA,SU'}]}]",Siem Reap
Angkor Street Eats,here:pds:place:116w63gg-32db25e7cf5b6618ddb04a889ef96ada,en,here:cm:ontology:landmark_attraction,"{'label': 'Angkor Street Eats, ផ្លូវជាតិ 63, 171204 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សាលាកម្រើក', 'street': 'ផ្លូវជាតិ 63', 'postalCode': '171204'}","{'lat': 13.34961, 'lng': 103.85261}","[{'lat': 13.34966, 'lng': 103.85248}]",88287,"[{'id': '300-3000-0000', 'name': 'Landmark-Attraction', 'primary': True}]",,"[{'supplier': {'id': 'tripadvisor'}, 'id': '8798203'}]","[{'phone': [{'value': '+85587686872'}], 'www': [{'value': 'http://www.angkorstreeteats.com'}]}]",Not Available,Siem Reap
Maison D'Korkthnout,here:pds:place:116w63u6-d772887de3419984cb4f0902132cdceb,en,here:cm:ontology:landmark_attraction,"{'label': ""Maison D'Korkthnout, 171203 សៀមរាប, កម្ពុជា"", 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'គោកចក', 'postalCode': '171203'}","{'lat': 13.44558, 'lng': 103.80244}","[{'lat': 13.44545, 'lng': 103.80244}]",88293,"[{'id': '300-3000-0000', 'name': 'Landmark-Attraction', 'primary': True}]",,"[{'supplier': {'id': 'tripadvisor'}, 'id': '13498583'}]","[{'phone': [{'value': '+85510225095'}], 'www': [{'value': 'http://www.maisondkorkthnout.jimdo.com'}]}]",Not Available,Siem Reap
Ride Expeditions,here:pds:place:116aabd1-dc200521f06a099c2e3c31392e4f1295,en,here:cm:ontology:landmark_attraction,"{'label': 'Ride Expeditions, ផ្លូវជាតិ 63, 171204 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សាលាកម្រើក', 'street': 'ផ្លូវជាតិ 63', 'postalCode': '171204'}","{'lat': 13.34737, 'lng': 103.85367}","[{'lat': 13.34734, 'lng': 103.8538}]",88295,"[{'id': '300-3000-0000', 'name': 'Landmark-Attraction', 'primary': True}]",,"[{'supplier': {'id': 'tripadvisor'}, 'id': '6211832'}]",[{'www': [{'value': 'http://rideexpeditions.com'}]}],Not Available,Siem Reap
Cambodia Flight Holiday International Travel,here:pds:place:116w63u5-7a5871f622d077d6179461536c806b08,en,here:cm:ontology:landmark_attraction,"{'label': 'Cambodia Flight Holiday International Travel, 171202 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'ស្វាយដង្គំ', 'postalCode': '171202'}","{'lat': 13.3671, 'lng': 103.84481}","[{'lat': 13.36701, 'lng': 103.8448}]",88299,"[{'id': '300-3000-0000', 'name': 'Landmark-Attraction', 'primary': True}]",,"[{'supplier': {'id': 'tripadvisor'}, 'id': '13376781'}]","[{'phone': [{'value': '+85569558888'}], 'www': [{'value': 'http://Angkorballooning.com'}]}]",Not Available,Siem Reap
Helpful Khmer Tours,here:pds:place:116w63u5-f1eda8e2787afe022938fbe2503ebabb,en,here:cm:ontology:landmark_attraction,"{'label': 'Helpful Khmer Tours, 171202 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'ស្វាយដង្គំ', 'postalCode': '171202'}","{'lat': 13.36714, 'lng': 103.84482}","[{'lat': 13.36701, 'lng': 103.8448}]",88301,"[{'id': '700-7400-0133', 'name': 'Travel Agent/Ticketing', 'primary': True}, {'id': '300-3000-0000', 'name': 'Landmark-Attraction'}]",,"[{'supplier': {'id': 'tripadvisor'}, 'id': '13350082'}]","[{'phone': [{'value': '+85592831918'}], 'www': [{'value': 'http://helpfulkhmertours.com'}]}]",Not Available,Siem Reap
Asura Journey,here:pds:place:116w63u5-cdcc23a7a58f6a6f1918d183ecf6319f,en,here:cm:ontology:landmark_attraction,"{'label': 'Asura Journey, 171202 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'ស្វាយដង្គំ', 'postalCode': '171202'}","{'lat': 13.36714, 'lng': 103.84482}","[{'lat': 13.36701, 'lng': 103.8448}]",88301,"[{'id': '700-7400-0133', 'name': 'Travel Agent/Ticketing', 'primary': True}, {'id': '300-3000-0000', 'name': 'Landmark-Attraction'}]",,"[{'supplier': {'id': 'tripadvisor'}, 'id': '13486549'}]","[{'phone': [{'value': '+85587775592'}], 'www': [{'value': 'http://www.butterfly-tours.com'}]}]","[{'text': ['Mon-Sun: 00:00 - 23:30'], 'isOpen': True, 'structured': [{'start': 'T000000', 'duration': 'PT23H30M', 'recurrence': 'FREQ:DAILY;BYDAY:MO,TU,WE,TH,FR,SA,SU'}]}]",Siem Reap
Angkor Daily Tours,here:pds:place:116w63u5-c420d67e6eb84852a9b61391bec5300d,en,here:cm:ontology:landmark_attraction,"{'label': 'Angkor Daily Tours, 171202 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'ស្វាយដង្គំ', 'postalCode': '171202'}","{'lat': 13.36711, 'lng': 103.84496}","[{'lat': 13.36698, 'lng': 103.84494}]",88314,"[{'id': '700-7400-0133', 'name': 'Travel Agent/Ticketing', 'primary': True}, {'id': '300-3000-0000', 'name': 'Landmark-Attraction'}]",,"[{'supplier': {'id': 'tripadvisor'}, 'id': '5544780'}]","[{'phone': [{'value': '+855769888847'}], 'www': [{'value': 'http://www.angkordailytours.com'}]}]",Not Available,Siem Reap
Angkor Traveler Day Tour,here:pds:place:116w63u4-2d4621d05febfdbd0671dd103c4c3dbe,en,here:cm:ontology:landmark_attraction,"{'label': 'Angkor Traveler Day Tour, 171202 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'ស្វាយដង្គំ', 'postalCode': '171202'}","{'lat': 13.37474, 'lng': 103.84136}","[{'lat': 13.37481, 'lng': 103.84124}]",88316,"[{'id': '300-3000-0000', 'name': 'Landmark-Attraction', 'primary': True}, {'id': '700-7400-0133', 'name': 'Travel Agent/Ticketing'}]",,"[{'supplier': {'id': 'tripadvisor'}, 'id': '25395107'}, {'supplier': {'id': 'tripadvisor'}, 'id': '25395114'}]","[{'phone': [{'value': '+85578951303'}], 'www': [{'value': 'https://www.angkortravelertour.com'}]}]","[{'text': ['Mon-Sun: 00:00 - 23:30'], 'isOpen': True, 'structured': [{'start': 'T000000', 'duration': 'PT23H30M', 'recurrence': 'FREQ:DAILY;BYDAY:MO,TU,WE,TH,FR,SA,SU'}]}]",Siem Reap
