title,id,language,ontologyId,address,position,access,distance,categories,foodTypes,references,contacts,openingHours,province
Ooh la La Restaurant,here:pds:place:116w3fh6-928c82c87d224efb8ee65ca7cde32ebf,en,here:cm:ontology:restaurant,"{'label': 'Ooh la La Restaurant, 070801 កំពត, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'កំពត', 'city': 'កំពត', 'district': 'កំពង់កណ្ដាល', 'postalCode': '070801'}","{'lat': 10.60104, 'lng': 104.18541}","[{'lat': 10.60116, 'lng': 104.18535}]",18835,"[{'id': '100-1000-0000', 'name': 'Restaurant', 'primary': True}]","[{'id': '800-078', 'name': 'Grill', 'primary': True}, {'id': '200-000', 'name': 'Asian'}, {'id': '256-000', 'name': 'Cambodian'}, {'id': '300-000', 'name': 'European'}, {'id': '310-000', 'name': 'Swiss'}, {'id': '800-083', 'name': 'Natural/Healthy'}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '15561465'}]",[{'phone': [{'value': '+855886692442'}]}],"[{'text': ['Mon-Sat: 17:00 - 22:00'], 'isOpen': True, 'structured': [{'start': 'T170000', 'duration': 'PT05H00M', 'recurrence': 'FREQ:DAILY;BYDAY:MO,TU,WE,TH,FR,SA'}]}]",Kampot
1960 Restaurant,here:pds:place:116w3fh6-95817b1a879dc5f847a0aaefa65f6af3,en,here:cm:ontology:restaurant,"{'label': '1960 Restaurant, 070801 កំពត, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'កំពត', 'city': 'កំពត', 'district': 'កំពង់កណ្ដាល', 'postalCode': '070801'}","{'lat': 10.60149, 'lng': 104.18492}","[{'lat': 10.60145, 'lng': 104.18479}]",18904,"[{'id': '100-1000-0000', 'name': 'Restaurant', 'primary': True}]","[{'id': '200-000', 'name': 'Asian', 'primary': True}, {'id': '256-000', 'name': 'Cambodian'}, {'id': '800-064', 'name': 'International'}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '25170331'}]",[{'phone': [{'value': '+85512236458'}]}],"[{'text': ['Mon, Wed-Sun: 11:00 - 24:00'], 'isOpen': True, 'structured': [{'start': 'T110000', 'duration': 'PT13H00M', 'recurrence': 'FREQ:DAILY;BYDAY:MO,WE,TH,FR,SA,SU'}]}]",Kampot
Restaurant l'Entrecôte,here:pds:place:116w3fh6-c029e44153e64a7e89174ac34188d477,fr,here:cm:ontology:restaurant,"{'label': ""Restaurant l'Entrecôte, 070801 កំពត, កម្ពុជា"", 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'កំពត', 'city': 'កំពត', 'district': 'កំពង់កណ្ដាល', 'postalCode': '070801'}","{'lat': 10.60681, 'lng': 104.18633}","[{'lat': 10.60693, 'lng': 104.18628}]",19009,"[{'id': '100-1000-0000', 'name': 'Restaurant', 'primary': True}]",,Not Available,[{'phone': [{'value': '+85577844940'}]}],Not Available,Kampot
Urban Kampot,here:pds:place:116w3fh6-0e5651c9934f4ad391984c7b0556a4e8,en,here:cm:ontology:restaurant,"{'label': 'Urban Kampot, 070801 កំពត, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'កំពត', 'city': 'កំពត', 'district': 'កំពង់កណ្ដាល', 'postalCode': '070801'}","{'lat': 10.6028, 'lng': 104.18433}","[{'lat': 10.6028, 'lng': 104.18432}]",19021,"[{'id': '100-1000-0000', 'name': 'Restaurant', 'primary': True}]",,Not Available,Not Available,Not Available,Kampot
Darawin Natural BBQ,here:pds:place:116w3fh6-1b31ecde8de84786baeb882561d11911,en,here:cm:ontology:restaurant,"{'label': 'Darawin Natural BBQ, 070801 កំពត, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'កំពត', 'city': 'កំពត', 'district': 'កំពង់កណ្ដាល', 'postalCode': '070801'}","{'lat': 10.60061, 'lng': 104.18321}","[{'lat': 10.60061, 'lng': 104.18321}]",19036,"[{'id': '100-1000-0000', 'name': 'Restaurant', 'primary': True}]","[{'id': '200-000', 'name': 'Asian', 'primary': True}, {'id': '256-000', 'name': 'Cambodian'}, {'id': '800-078', 'name': 'Grill'}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '18946127'}]","[{'phone': [{'value': '+85569600899'}], 'www': [{'value': 'https://www.facebook.com/Darawin-Natural-BBQ-Kampot-308605052652500'}]}]",Not Available,Kampot
The Shore Café,here:pds:place:116w3fh6-a0f8681bc5b8e2ab446001f829cb23b2,en,here:cm:ontology:restaurant,"{'label': 'The Shore Café, 070801 កំពត, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'កំពត', 'city': 'កំពត', 'district': 'កំពង់កណ្ដាល', 'postalCode': '070801'}","{'lat': 10.60061, 'lng': 104.18317}","[{'lat': 10.60061, 'lng': 104.18317}]",19040,"[{'id': '100-1000-0000', 'name': 'Restaurant', 'primary': True}]","[{'id': '200-000', 'name': 'Asian', 'primary': True}, {'id': '101-000', 'name': 'American'}, {'id': '256-000', 'name': 'Cambodian'}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '25940727'}]",[{'phone': [{'value': '+85569362655'}]}],"[{'text': ['Mon-Sun: 07:00 - 18:00'], 'isOpen': False, 'structured': [{'start': 'T070000', 'duration': 'PT11H00M', 'recurrence': 'FREQ:DAILY;BYDAY:MO,TU,WE,TH,FR,SA,SU'}]}]",Kampot
Mad Monkey Hostel Kampot,here:pds:place:116aabd1-614a504bd99c0726c82ccc7cd2d26d41,en,here:cm:ontology:restaurant,"{'label': 'Mad Monkey Hostel Kampot, 070801 កំពត, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'កំពត', 'city': 'កំពត', 'district': 'កំពង់កណ្ដាល', 'postalCode': '070801'}","{'lat': 10.60074, 'lng': 104.18321}","[{'lat': 10.60061, 'lng': 104.18322}]",19042,"[{'id': '100-1000-0000', 'name': 'Restaurant', 'primary': True}, {'id': '200-2000-0011', 'name': 'Bar or Pub'}, {'id': '500-5000-0053', 'name': 'Hotel'}, {'id': '500-5100-0055', 'name': 'Hostel'}]","[{'id': '200-000', 'name': 'Asian', 'primary': True}, {'id': '101-000', 'name': 'American'}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '14937690'}, {'supplier': {'id': 'tripadvisor'}, 'id': '19260136'}, {'supplier': {'id': 'tripadvisor'}, 'id': '6584394'}]","[{'phone': [{'value': '+855968726525', 'categories': [{'id': '200-2000-0011'}, {'id': '500-5000-0053'}, {'id': '500-5100-0055'}]}, {'value': '+855968729525'}], 'www': [{'value': 'http://www.madmonkeyhostels.com/kampot', 'categories': [{'id': '200-2000-0011'}, {'id': '500-5000-0053'}, {'id': '500-5100-0055'}]}, {'value': 'https://www.madmonkeyhostels.com/kampot', 'categories': [{'id': '100-1000-0000'}, {'id': '500-5100-0055'}]}]}]","[{'categories': [{'id': '100-1000-0000'}], 'text': ['Mon-Sun: 07:00 - 24:00'], 'isOpen': True, 'structured': [{'start': 'T070000', 'duration': 'PT17H00M', 'recurrence': 'FREQ:DAILY;BYDAY:MO,TU,WE,TH,FR,SA,SU'}]}]",Kampot
Bamboo Kitchen,here:pds:place:116w3fh6-bc91bd9876254f959031d6ad961fe5a3,en,here:cm:ontology:restaurant,"{'label': 'Bamboo Kitchen, 070801 កំពត, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'កំពត', 'city': 'កំពត', 'district': 'កំពង់កណ្ដាល', 'postalCode': '070801'}","{'lat': 10.60292, 'lng': 104.18414}","[{'lat': 10.60279, 'lng': 104.18419}]",19046,"[{'id': '100-1000-0000', 'name': 'Restaurant', 'primary': True}, {'id': '100-1000-0004', 'name': 'Food Market/Stall'}]","[{'id': '800-057', 'name': 'Pizza', 'primary': True}, {'id': '204-000', 'name': 'Southeast Asian'}, {'id': '256-000', 'name': 'Cambodian'}, {'id': '800-075', 'name': 'Seafood'}, {'id': '800-078', 'name': 'Grill'}, {'id': '800-083', 'name': 'Natural/Healthy'}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '12585673'}]","[{'phone': [{'value': '+85593332429'}], 'www': [{'value': 'https://www.facebook.com/KhmerWesternFood.Kampot'}]}]",Not Available,Kampot
Salt Pepper Crab Restaurant,here:pds:place:116w3fh6-f83bef58efc64dd863ba2aa90bbc8f9b,en,here:cm:ontology:restaurant,"{'label': 'Salt Pepper Crab Restaurant, 070801 កំពត, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'កំពត', 'city': 'កំពត', 'district': 'កំពង់កណ្ដាល', 'postalCode': '070801'}","{'lat': 10.6004, 'lng': 104.18237}","[{'lat': 10.60029, 'lng': 104.18229}]",19112,"[{'id': '100-1000-0000', 'name': 'Restaurant', 'primary': True}]","[{'id': '200-000', 'name': 'Asian', 'primary': True}, {'id': '256-000', 'name': 'Cambodian'}, {'id': '300-000', 'name': 'European'}, {'id': '800-075', 'name': 'Seafood'}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '27530517'}]",[{'phone': [{'value': '+85510800816'}]}],Not Available,Kampot
Flowers Nanobrewery,here:pds:place:116aabd1-8a1f914c140e01fdd038b4994a069e76,en,here:cm:ontology:restaurant,"{'label': 'Flowers Nanobrewery, 070801 កំពត, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'កំពត', 'city': 'កំពត', 'district': 'កំពង់កណ្ដាល', 'postalCode': '070801'}","{'lat': 10.60167, 'lng': 104.1828}","[{'lat': 10.60161, 'lng': 104.18292}]",19124,"[{'id': '100-1000-0000', 'name': 'Restaurant', 'primary': True}, {'id': '200-2000-0011', 'name': 'Bar or Pub'}, {'id': '300-3000-0350', 'name': 'Brewery'}]","[{'id': '203-000', 'name': 'Japanese', 'primary': True}]",Not Available,"[{'phone': [{'value': '+855977074421'}], 'www': [{'value': 'https://flowershomeandbrew.wordpress.com'}]}]",Not Available,Kampot
Sabay Sabay Bar,here:pds:place:116w3fh6-f48f79d5fc594fadb51cb574f16de62c,en,here:cm:ontology:restaurant,"{'label': 'Sabay Sabay Bar, 070801 កំពត, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'កំពត', 'city': 'កំពត', 'district': 'កំពង់កណ្ដាល', 'postalCode': '070801'}","{'lat': 10.60082, 'lng': 104.18234}","[{'lat': 10.60076, 'lng': 104.18246}]",19133,"[{'id': '100-1000-0000', 'name': 'Restaurant', 'primary': True}]","[{'id': '200-000', 'name': 'Asian', 'primary': True}, {'id': '300-000', 'name': 'European'}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '19653475'}, {'supplier': {'id': 'tripadvisor'}, 'id': '19654566'}]",[{'www': [{'value': 'https://www.facebook.com/SABAYSABAYBARKAMPOT'}]}],Not Available,Kampot
Raging Bull Sports Bar Kampot,here:pds:place:116w3fh6-d360d29303bd49a8afcc8bb90ae473aa,en,here:cm:ontology:restaurant,"{'label': 'Raging Bull Sports Bar Kampot, 070801 កំពត, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'កំពត', 'city': 'កំពត', 'district': 'កំពង់កណ្ដាល', 'postalCode': '070801'}","{'lat': 10.60763, 'lng': 104.18502}","[{'lat': 10.6076, 'lng': 104.18503}]",19178,"[{'id': '100-1000-0000', 'name': 'Restaurant', 'primary': True}, {'id': '200-2000-0011', 'name': 'Bar or Pub'}]",,Not Available,Not Available,Not Available,Kampot
Somewhere,here:pds:place:116w3fh6-2d558e0885ca49d69f83bc9c99cd7da4,en,here:cm:ontology:restaurant,"{'label': 'Somewhere, 070801 កំពត, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'កំពត', 'city': 'កំពត', 'district': 'កំពង់កណ្ដាល', 'postalCode': '070801'}","{'lat': 10.60523, 'lng': 104.18367}","[{'lat': 10.6051, 'lng': 104.18372}]",19198,"[{'id': '100-1000-0000', 'name': 'Restaurant', 'primary': True}]","[{'id': '300-000', 'name': 'European', 'primary': True}, {'id': '205-000', 'name': 'Thai'}, {'id': '301-000', 'name': 'French'}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '12725401'}]","[{'phone': [{'value': '+855968347396'}], 'www': [{'value': 'http://somewherekampot.com'}]}]",Not Available,Kampot
The Green Room Kampot,here:pds:place:116w3fh6-eb210a993c7faae91139fed719ae11d4,en,here:cm:ontology:restaurant,"{'label': 'The Green Room Kampot, 070801 កំពត, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'កំពត', 'city': 'កំពត', 'district': 'កំពង់កណ្ដាល', 'postalCode': '070801'}","{'lat': 10.60522, 'lng': 104.18363}","[{'lat': 10.60509, 'lng': 104.18368}]",19202,"[{'id': '100-1000-0000', 'name': 'Restaurant', 'primary': True}, {'id': '200-2000-0011', 'name': 'Bar or Pub'}]","[{'id': '200-000', 'name': 'Asian', 'primary': True}, {'id': '103-000', 'name': 'Canadian'}, {'id': '256-000', 'name': 'Cambodian'}, {'id': '308-000', 'name': 'British Isles'}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '25288244'}]",[{'phone': [{'value': '+85581773742'}]}],"[{'text': ['Mon-Sat: 09:00 - 24:00'], 'isOpen': True, 'structured': [{'start': 'T090000', 'duration': 'PT15H00M', 'recurrence': 'FREQ:DAILY;BYDAY:MO,TU,WE,TH,FR,SA'}]}]",Kampot
Countryside Food Kampot,here:pds:place:116w3fh6-02fb1e3710c3410eacfecbfa17ae54d0,en,here:cm:ontology:restaurant,"{'label': 'Countryside Food Kampot, ផ្លូវជាតិ 33, 070801 កំពត, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'កំពត', 'city': 'កំពត', 'district': 'កំពង់កណ្ដាល', 'street': 'ផ្លូវជាតិ 33', 'postalCode': '070801'}","{'lat': 10.60839, 'lng': 104.18509}","[{'lat': 10.60851, 'lng': 104.18516}]",19207,"[{'id': '100-1000-0000', 'name': 'Restaurant', 'primary': True}]","[{'id': '200-000', 'name': 'Asian', 'primary': True}, {'id': '256-000', 'name': 'Cambodian'}, {'id': '800-075', 'name': 'Seafood'}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '14921831'}]","[{'phone': [{'value': '+85589784597'}], 'www': [{'value': 'http://www.facebook.com/CountrySideFoodKampot'}]}]","[{'text': ['Mon-Thu, Sat, Sun: 13:00 - 21:00'], 'isOpen': False, 'structured': [{'start': 'T130000', 'duration': 'PT08H00M', 'recurrence': 'FREQ:DAILY;BYDAY:MO,TU,WE,TH,SA,SU'}]}]",Kampot
